'timestampMs','latitudeE7','longitudeE7', 'accuracy','velocity','altitude','verticalAccuracy','activity_timestampMs','activity','activity_confidence' 
1518733808000,47075665,-740351862,65,0,2613,130,,,
1518733792000,47075650,-740351873,62,0,2613,124,,,
1518733766000,47075665,-740351915,45,0,2613,91,1518733763458,STILL,100
1518733746000,47075611,-740351915,59,0,2613,118,,,
1518733726000,47075611,-740351969,39,0,2612,79,,,
1518733706000,47075665,-740352023,51,0,2613,103,,,
1518733688000,47075665,-740352076,50,0,2612,100,,,
1518733668000,47075665,-740352130,43,0,2611,88,,,
1518733649000,47077328,-740352237,60,0,2637,121,,,
1518733630315,47075291,-740350632,22,,,,,,
1518733603000,47075665,-740352130,51,0,2611,103,,,
1518733584000,47075665,-740352130,48,0,2611,97,1518733579716,STILL,100
1518733568000,47075650,-740352104,27,0,2610,55,,,
1518733553000,47075611,-740352184,60,0,2611,121,,,
1518733533000,47075558,-740352130,57,0,2612,115,,,
1518733519180,47075558,-740352184,76,,,,,,
1518733501091,47075558,-740352184,72,,,,,,
1518733482000,47075558,-740352184,33,0,2612,67,1518733482294,TILTING,100
1518733468112,47075387,-740351180,28,,,,,,
1518733448112,47075388,-740351181,22,,,,,,
1518733422154,47075078,-740351070,23,,,,,,
1518733379195,47075185,-740350772,23,,,,1518733384872,STILL,78
1518733358000,47075504,-740352237,54,0,2606,109,,,
1518733340000,47075504,-740352291,40,0,2610,82,,,
1518733320000,47075504,-740352398,40,0,2609,82,,,
1518733303000,47075504,-740352291,51,0,2608,103,1518733308194,TILTING,100
1518733283000,47075558,-740352023,48,0,2611,97,,,
1518733266774,47075482,-740350722,22,,,,,,
1518733250000,47075611,-740351808,69,0,2614,140,,,
1518733233554,47075501,-740350628,22,,,,1518733066302,TILTING,100
1518733209451,47075611,-740351862,133,,,,,,
1518733170000,47075632,-740352028,37,0,2610,76,,,
1518733155000,47075658,-740352143,57,0,2606,115,,,
1518733135000,47075662,-740352142,71,0,2606,143,,,
1518733111615,47075664,-740352140,85,,,,,,
1518733089000,47075665,-740352237,66,0,2603,133,,,
1518733071000,47075665,-740352237,66,0,2601,133,,,
1518733055000,47075631,-740352220,45,0,2601,91,,,
1518733039000,47075635,-740352271,51,0,2600,103,,,
1518733020000,47075808,-740352119,71,0,2598,143,,,
1518732995000,47075880,-740352130,62,0,2595,124,,,
1518732976184,47076009,-740352281,29,,,,,,
1518732956124,47076226,-740352180,29,,,,,,
1518732936125,47075282,-740352935,34,,,,,,
1518732916136,47074493,-740351115,23,,,,,,
1518732899000,47074914,-740351325,22,0,2602,46,1518732901088,STILL,60
1518732802293,47074821,-740350952,16,1,2599,33,1518732811033,TILTING,100
1518732799000,47074860,-740351003,34,1,2596,70,,,
1518732782000,47076094,-740346926,69,0,2605,140,,,
1518732757000,47076309,-740345854,56,0,2599,112,,,
1518732742665,47078156,-740350674,50,,,,,,
1518732720293,47075159,-740350456,22,,2585,2,1518732720977,STILL,55
1518732680869,47075176,-740350552,22,,,,,,
1518732620000,47076094,-740352130,50,0,2627,100,,,
1518732604000,47076038,-740352146,71,0,2625,143,,,
1518732581000,47076041,-740352130,30,0,2626,61,1518732590658,STILL,100
1518732565000,47076094,-740352130,54,0,2627,109,,,
1518732550000,47076094,-740352130,66,0,2628,133,,,
1518732530000,47076094,-740352130,53,0,2628,106,,,
1518732514000,47076041,-740352076,51,0,2628,103,,,
1518732499216,47076058,-740352063,65,,,,,,
1518732477000,47076063,-740352097,66,0,2627,133,,,
1518732453000,47076041,-740352023,59,0,2627,118,,,
1518732434000,47075987,-740352023,69,0,2626,140,,,
1518732420464,47075944,-740351910,49,,,,,,
1518732401000,47075987,-740351915,48,0,2623,97,1518732396885,STILL,100
1518732385000,47075969,-740351785,54,0,2623,109,,,
1518732370000,47075933,-740351915,69,0,2619,140,,,
1518732350000,47075987,-740351969,65,0,2618,130,,,
1518732330000,47075987,-740352023,65,0,2616,130,,,
1518732311000,47075987,-740352023,33,0,2607,67,,,
1518732295000,47075987,-740352023,63,0,2605,127,,,
1518732274000,47076152,-740351954,66,0,2600,133,,,
1518732253000,47075933,-740351915,31,0,2594,64,,,
1518732238589,47075128,-740350524,22,,,,,,
1518732175549,47075003,-740352046,18,0,2584,36,1518732204476,UNKNOWN,40
1518732135000,47074933,-740352049,78,0,2582,158,,,
1518732116734,47075523,-740350758,23,,,,1518732117535,STILL,100
1518731855511,47074936,-740350617,23,,,,,,
1518731800736,47074939,-740350787,22,,,,,,
1518731780215,47074982,-740350946,22,,,,,,
1518731680430,47075088,-740350591,22,,,,1518731680864,STILL,100
1518731560589,47075088,-740350591,22,,,,,,
1518731538000,47074324,-740350145,51,0,2595,103,,,
1518731519697,47075131,-740350846,22,,2590,2,,,
1518731254889,47074914,-740350625,22,,,,,,
1518731209000,47074914,-740351540,51,0,2613,103,,,
1518731189007,47075018,-740350467,22,,,,,,
1518730885000,47074914,-740351540,40,0,2614,82,,,
1518730868000,47074914,-740351540,40,0,2614,82,,,
1518730848000,47074914,-740351593,36,0,2614,73,,,
1518730829210,47074906,-740351630,23,,,,,,
1518730811000,47074914,-740351593,42,0,2613,85,,,
1518730791000,47074914,-740351647,42,0,2613,85,,,
1518730774000,47074860,-740351647,37,0,2613,76,,,
1518730754000,47074860,-740351647,53,0,2612,106,,,
1518730734000,47074860,-740351647,47,0,2611,94,,,
1518730714000,47074860,-740351647,40,0,2613,82,,,
1518730694000,47074860,-740351593,54,0,2611,109,,,
1518730674000,47074860,-740351593,34,0,2611,70,,,
1518730659285,47074860,-740351593,56,0,2611,112,1518730659048,STILL,100
1518730657000,47074860,-740351593,56,0,2611,112,,,
1518730637000,47074807,-740351540,45,0,2611,91,,,
1518730617000,47074807,-740351486,47,0,2609,94,,,
1518730597000,47074807,-740351433,42,0,2610,85,,,
1518730577000,47074807,-740351433,54,0,2608,109,,,
1518730557000,47074807,-740351433,43,0,2609,88,,,
1518730537000,47074807,-740351433,30,0,2610,61,,,
1518730521344,47074798,-740351445,43,,,,,,
1518730505154,47074714,-740351355,66,,,,,,
1518730484000,47074699,-740351325,42,0,2613,85,,,
1518730465000,47074753,-740351325,31,0,2613,64,1518730463371,STILL,55
1518730451396,47074753,-740351364,18,0,2614,36,,,
1518730435000,47074753,-740351364,18,0,2614,36,,,
1518730419000,47074753,-740351365,18,0,2614,36,,,
1518730404000,47074751,-740351365,16,0,2614,33,,,
1518730388000,47074752,-740351365,16,0,2614,33,,,
1518730373000,47074753,-740351365,16,0,2614,33,,,
1518730358000,47074753,-740351365,15,0,2614,30,,,
1518730343000,47074753,-740351366,15,0,2614,30,,,
1518730327000,47074753,-740351366,16,0,2614,33,,,
1518730311000,47074753,-740351365,15,0,2614,30,,,
1518730295000,47074751,-740351362,16,0,2614,33,,,
1518730280000,47074750,-740351361,16,0,2614,33,,,
1518730265000,47074748,-740351358,21,0,2614,42,,,
1518730249000,47074747,-740351357,19,0,2614,39,,,
1518730234000,47074737,-740351346,22,0,2613,46,,,
1518730219000,47074726,-740351335,21,0,2613,42,,,
1518730204000,47074699,-740351325,51,0,2613,103,,,
1518730184000,47074753,-740351379,45,0,2613,91,,,
1518730168000,47074753,-740351379,48,0,2613,97,,,
1518730153000,47074754,-740351364,27,0,2613,55,,,
1518730137000,47074756,-740351351,13,0,2613,27,,,
1518730122000,47074699,-740351272,56,0,2614,112,,,
1518730102000,47074753,-740351272,56,0,2614,112,,,
1518730085000,47074753,-740351272,57,0,2614,115,,,
1518730067000,47074753,-740351272,69,0,2614,140,,,
1518730045000,47074699,-740351272,50,0,2614,100,,,
1518730022000,47074676,-740351242,21,0,2614,42,,,
1518730007000,47074592,-740351164,59,0,2613,118,,,
1518729987000,47074592,-740351164,56,0,2613,112,,,
1518729970000,47074592,-740351164,40,0,2613,82,,,
1518729952000,47074646,-740351218,56,0,2614,112,,,
1518729935000,47074642,-740351197,45,0,2614,91,,,
1518729920000,47074646,-740351164,45,0,2614,91,,,
1518729903000,47074637,-740351167,22,0,2614,46,,,
1518729888000,47074592,-740351111,56,0,2614,112,,,
1518729870000,47074592,-740351111,53,0,2614,106,,,
1518729852000,47074538,-740351057,62,0,2614,124,,,
1518729831177,47074416,-740350936,114,,,,,,
1518729810000,47074378,-740350896,62,0,2613,124,,,
1518729791106,47074344,-740350856,87,,,,,,
1518729773000,47074270,-740350789,59,0,2613,118,,,
1518729757000,47074218,-740350732,47,0,2612,94,,,
1518729737000,47074163,-740350682,31,0,2612,64,,,
1518729722000,47073734,-740350252,48,0,2610,97,,,
1518729705000,47073680,-740350199,51,0,2610,103,,,
1518729685000,47073573,-740350145,65,0,2610,130,,,
1518729666000,47073538,-740350114,48,0,2609,97,,,
1518729651000,47073358,-740349931,57,0,2609,115,,,
1518729629000,47073267,-740349858,59,0,2609,118,,,
1518729613000,47073251,-740349877,54,0,2608,109,,,
1518729594000,47073251,-740349877,53,0,2608,106,,,
1518729578000,47073291,-740349900,42,0,2609,85,,,
1518729563000,47073305,-740349877,54,0,2609,109,,,
1518729543000,47073144,-740349770,53,0,2610,106,,,
1518729523000,47072768,-740349448,68,0,2606,137,,,
1518729506000,47072607,-740349340,68,0,2605,137,,,
1518729488000,47072453,-740349168,47,0,2605,94,,,
1518729473000,47072285,-740349072,62,0,2603,124,,,
1518729456000,47072071,-740348911,59,0,2604,118,,,
1518729436000,47071749,-740348804,63,0,2602,127,,,
1518729420000,47071588,-740348697,51,0,2603,103,,,
1518729399000,47068369,-740345961,50,0,2589,100,,,
1518729380594,47074989,-740350500,22,,,,,,
1518729358771,47075205,-740350592,22,,,,,,
1518729338556,47075200,-740350484,22,,,,,,
1518729318159,47075200,-740350484,22,,,,,,
1518729296630,47074968,-740350091,19,0,2638,39,,,
1518729283557,47075226,-740350349,22,,,,1518729283452,STILL,100
1518729094337,47074548,-740351244,114,,,,,,
1518729073000,47074592,-740351272,36,0,2596,73,,,
1518729053000,47074600,-740351251,4,0,2600,9,,,
1518729034193,47075216,-740350340,22,,,,,,
1518728702870,47075198,-740350508,22,,,,,,
1518728684000,47074699,-740351218,51,0,2600,103,,,
1518728667000,47074699,-740351218,47,0,2600,94,,,
1518728647000,47074646,-740351218,53,0,2593,106,,,
1518728627000,47074592,-740351218,45,0,2601,91,,,
1518728607000,47074592,-740351218,45,0,2601,91,,,
1518728592311,47074586,-740351214,61,,,,,,
1518728573000,47074588,-740351209,77,0,2601,155,,,
1518728554000,47074592,-740351218,68,0,2601,137,,,
1518728537000,47074538,-740351218,65,0,2601,130,,,
1518728516000,47074567,-740351204,71,0,2601,143,,,
1518728498000,47074592,-740351218,56,0,2602,112,,,
1518728481000,47074592,-740351218,48,0,2599,97,,,
1518728461000,47074646,-740351218,53,0,2604,106,,,
1518728444000,47074646,-740351218,54,0,2604,109,,,
1518728430135,47074592,-740351218,61,,,,,,
1518728410449,47074592,-740351218,42,0,2604,85,1518728410228,STILL,100
1518728396000,47074646,-740351218,43,0,2605,88,,,
1518728376000,47074699,-740351218,33,0,2605,67,,,
1518728356000,47074699,-740351272,45,0,2605,91,,,
1518728336000,47074753,-740351325,34,0,2605,70,,,
1518728316000,47074807,-740351379,34,0,2606,70,,,
1518728296000,47074860,-740351433,21,0,2609,42,,,
1518728279000,47075075,-740351486,51,0,2612,103,,,
1518728257000,47074955,-740351770,12,0,2614,24,,,
1518728242000,47074163,-740352237,48,0,2621,97,,,
1518728225000,47075611,-740350950,68,0,2617,137,1518728225969,STILL,43
1518728205000,47074270,-740352023,57,0,2625,115,,,
1518728187000,47074163,-740349126,36,0,2618,73,,,
1518728172000,47075473,-740351110,48,0,2619,97,1518728164090,STILL,33
1518728152000,47076470,-740352666,34,0,2609,70,,,
1518728135642,47074632,-740351993,39,0,2614,79,,,
1518728130000,47074538,-740351915,60,0,2612,121,,,
1518728107000,47074524,-740351515,68,0,2600,137,,,
1518728088000,47074538,-740351540,37,0,2589,76,,,
1518728072000,47074535,-740351536,9,0,2609,18,,,
1518728057000,47074324,-740351486,36,0,2603,73,,,
1518728038150,47074271,-740351550,32,,,,,,
1518728018252,47074212,-740351572,31,,,,,,
1518727998916,47074078,-740351311,21,,,,,,
1518727980000,47074431,-740351486,42,0,2597,85,,,
1518727958000,47074426,-740351491,15,0,2597,30,,,
