name,type
carnet,VARCHAR
id_entrevistado,VARCHAR
edad,INT
estado_civil,VARCHAR
sexo,VARCHAR
twitter,VARCHAR
hijos,INT
vive,VARCHAR
ocupacion,VARCHAR
direccion,VARCHAR
barrio,VARCHAR
vivienda,VARCHAR
gastos_transporte,INT
gastos_alimentacion,INT
gastos_seguridad_social,INT
gastos_porcentaje_ahorro,INT
gastos_total,INT
cultura_ciudadana,INT
medio_ambiente,INT
movilidad,INT
calidad_vida,INT
practicas_democraticas,INT
ataques_cardiacos,INT
hipertension,INT
derrames_cerebrales,INT
gastritis_cronica,INT
cancer,INT
gripas_refriados,INT
gastritis,INT
jaquecas,INT
insomnio,INT
ansiedad,INT
visitas_doctor,INT
gastos_medicamentos,INT
dias_incapacitado,INT
ruido_exterior_suenho,VARCHAR
suenho_rutina,VARCHAR
pagar_uber_taxi,VARCHAR
ruido_barrio,INT
ruido_transporte_publico,INT
ruido_bogota,INT
ejercicio_semana,INT
parques,VARCHAR
hora_levantar,INT
hora_salir_hogar,INT
hora_llegar_destino,INT
hora_volver_hogar,INT
dias_caminata,INT
dias_bicicleta,INT
dias_transmilenio,INT
dias_uber,INT
dias_taxi,INT
dias_bus,INT
dias_sitp,INT
dias_carro,INT
numero_atracos,INT
dinero_atracos,INT
mi_calidad_aire,INT
politicos_calidad_aire,INT
mockus_calidad_aire,INT
lucho_calidad_aire,INT
samuel_calidad_aire,INT
petro_calidad_aire,INT
penhalosa_calidad_aire,INT
mi_seguridad_hurtos,INT
politicos_seguridad_hurtos,INT
mockus_seguridad_hurtos,INT
lucho_seguridad_hurtos,INT
samuel_seguridad_hurtos,INT
petro_seguridad_hurtos,INT
penhalosa_seguridad_hurtos,INT
mi_parques_zonas_verdes,INT
politicos_parques_zonas_verdes,INT
mockus_parques_zonas_verdes,INT
lucho_parques_zonas_verdes,INT
samuel_parques_zonas_verdes,INT
petro_parques_zonas_verdes,INT
penhalosa_parques_zonas_verdes,INT
mi_seguridad_peaton,INT
politicos_seguridad_peaton,INT
mockus_seguridad_peaton,INT
lucho_seguridad_peaton,INT
samuel_seguridad_peaton,INT
petro_seguridad_peaton,INT
penhalosa_seguridad_peaton,INT
mi_plantar_arboles,INT
politicos_plantar_arboles,INT
mockus_plantar_arboles,INT
lucho_plantar_arboles,INT
samuel_plantar_arboles,INT
petro_plantar_arboles,INT
penhalosa_plantar_arboles,INT
mi_control_ruido,INT
politicos_control_ruido,INT
mockus_control_ruido,INT
lucho_control_ruido,INT
samuel_control_ruido,INT
petro_control_ruido,INT
penhalosa_control_ruido,INT
mi_mejoramiento_transporte,INT
politicos_mejoramiento_transporte,INT
mockus_mejoramiento_transporte,INT
lucho_mejoramiento_transporte,INT
samuel_mejoramiento_transporte,INT
petro_mejoramiento_transporte,INT
penhalosa_mejoramiento_transporte,INT
mi_cultura_ciudadana,INT
politicos_cultura_ciudadana,INT
mockus_cultura_ciudadana,INT
lucho_cultura_ciudadana,INT
samuel_cultura_ciudadana,INT
petro_cultura_ciudadana,INT
penhalosa_cultura_ciudadana,INT
tarot_calidad,VARCHAR
tarot_ambiental,VARCHAR
tarot_cultura,VARCHAR
tarot_democraticas,VARCHAR
